lntanalfabetas,lnsalario,lnGini,lnpuntaje_matematicas,lncobersecundar,lnparticipacion,lntasadesempleo,lnPobreza,lnhurtos,CódigoMunicipio,lnvalpercapita,lnTMI,lnpen1000,lnvel,lnindice_demanda,lnindice_oferta,goblinea,penpvd,penkvd,cod_dane,ciudad,year,poblacion,poblacion_total
2.5843756,13.413866,-.68716508,,,,2.4021568,3.8329797,-.42661044,001,,,4.5066605,7.2727833,1.1019096,1.2578161,76.09161018193137,.0093339309,.35795251,27001,quibdo,2015,115517,107333
2.2110391,13.789553,-.74233741,,,,2.3313863,2.9907198,-.25123963,001,,,5.120163,7.8210049,1.3247783,1.4409734,68.74924827377417,.021848917,.71196097,41001,neiva,2015,340046,321385
,,,,,,,,-1.3348736,298,,,3.5162613,7.564599,1.0753154,1.1318696,31.1459175084175,.024144676,.40149894,41298,garzon,2015,86249,
,,,,,,,,-.90165317,551,,,3.8946157,7.6444468,1.1003993,1.1606643,19.8389836742778,.013634008,.11979873,41551,pitalito,2015,123430,
2.5518265,13.564734,-.65971243,,,,2.3514373,3.7471483,-1.4465634,001,,,3.8336799,7.6097016,1.3388606,1.4268878,57.15100713486405,.018849697,.49959242,44001,riohacha,2015,250236,216063
,,,,,,,,-1.7034079,430,,,3.4897468,7.4297843,1.0834984,1.2088687,31.99590904705317,.0094638718,.24651794,44430,maicao,2015,154343,
,,,,,,,,-3.772181,560,,,-1.89704,7.4859724,.35667497,.49247649,73.5108284084543,.023257436,.14036319,44560,manaure,2015,99992,
,,,,,,,,-4.7201996,847,,,-1.7934604,7.6053877,.22123696,.56639546,17.66694757802111,0,.12798689,44847,uribia,2015,168286,
2.0537837,13.528788,-.75502259,,,,2.4837823,3.5292974,-.88200796,001,,,4.7150421,8.0467014,1.2741556,1.4558238,53.11280958605665,.0043652109,1.5919197,47001,santamarta,2015,476385,461875
,,,,,,,,-2.1112709,189,,,3.6983483,7.6690097,1.0932057,1.2200922,,.010222545,1.4430014,47189,cienaga,2015,104060,
2.1528256,13.693951,-.80073237,,,,2.476367,2.8390784,-.12906721,001,,,4.9702044,8.0985374,1.3409111,1.4272587,56.92689347918965,.0088866577,.21138968,50001,villavicencio,2015,473766,454923
1.948079,13.630664,-.69916523,,,,2.254719,3.2921262,-.59853733,001,,,4.8767481,7.9357576,1.4296955,1.4568733,54.05039531944092,.022207541,.74076068,52001,pasto,2015,434486,362798
,,,,,,,,-2.3835528,356,,,3.176821,7.846879,1.1135621,1.345263,33.748552527799,.020676963,.30915087,52356,ipiales,2015,135542,
,,,,,,,,-2.515136,835,,,2.1755149,7.2735944,1.1327169,1.0688703,31.73058561808562,.0092007322,.51883966,52835,tumaco,2015,195419,
2.1609769,13.434158,-.80296206,,,,2.5958383,3.4995332,-1.1359115,001,,,4.8827205,8.005969,1.3422472,1.4408984,41.91464589876355,.0080390638,1.8430631,54001,cucuta,2015,643666,805082
,,,,,,,,-1.4057585,498,,,4.310636,7.6871581,1.0996718,1.1673088,43.75433843193844,0,1.5876375,54498,ocaÑa,2015,97479,
,,,,,,,,-2.513309,874,,,4.2750192,8.0765629,1.458474,1.2050772,43.20621991483462,.012095116,.26723677,54874,villadelrosario,2015,86420,
1.7818717,13.951884,-.70724612,,,,2.6358955,3.1863527,-.42063326,001,,,5.2032986,8.1832705,1.4850866,1.4648036,,.041788112,0,63001,armenia,2015,295143,287832
1.9704539,13.60037,-.75077629,,,,2.5595152,2.8959119,-.4082194,001,,,5.1538854,8.3742685,1.509488,1.46928,51.19046042356337,.020322105,0,66001,pereira,2015,467185,615576
,,,,,,,,-.88714504,170,,,5.1764679,8.3034573,1.5265825,1.4091175,38.10234849192202,.021233564,.81919253,66170,dosquebradas,2015,196926,
1.8091526,13.813139,-.8486321,,,,2.2074146,2.1282318,-.40783969,001,,,5.4643345,8.2668343,1.349838,1.4621909,77.19416016000339,.01151815,0,68001,bucaramanga,2015,527451,1055858
,,,,,,,,-.54954588,081,,,5.0326862,8.0224438,1.3272798,1.3825877,87.48319097020627,.02307111,.32596296,68081,barrancabermeja,2015,191784,
